Algorithm,100,1.000,10.000,100.000,1.000.000,10.000.000,100.000.000
Lineal Search,0.0028,0.0077,0.0648,0.3697,0.5757,0.3268,0.1016
Binary Search,0.0014,0.0012,0.0015,0.0026,0.0029,0.004,0.0043
