Algorithm,100,1.000,10.000,100.000,1.000.000,10.000.000,100.000.000
Bubble Sort,0.1135,2.792,62.1971,20134.8793,null,null,null
Selection Sort,0.1702,5.3742,96.4601,9193.4834,null,null,null
Shell Sort,0.0696,1.0156,8.5328,32.2463,305.0722,4334.6416,null
Quick Sort,0.0493,1.4281,2.8619,41.6057,171.6457,2427.6673,null
Merge Sort,0.016,0.1583,1.7217,21.2487,273.2235,2805.6303,29757.6559
