Algorithm,100,1.000,10.000,100.000,1.000.000,10.000.000,100.000.000
Lineal Search,5.0E-4,6.0E-4,0.0022,0.0181,0.2626,3.1629,31.5523
Binary Search,8.0E-4,4.0E-4,5.0E-4,6.0E-4,0.0014,0.0037,0.0045
